runID/I:time/D:timeErr/D:A/D:AErr/D:N/D:NErr/D:frac/D
//1363	101.2440	5.7746	1.25110	0.40696	596.268	193.954	0.0000	0.0400
3061	5945.6169	7.3333	0.30975	0.17619	147.628	83.973	0.7500	0.5742
3134	6377.5986	2.7500	3.47100	0.89341	1654.260	425.793	0.6364	0.2212
3121	6353.5008	2.8333	3.20687	0.87935	1528.379	419.093	0.7500	0.2593
3144	6449.5811	2.7986	2.78450	0.82896	1327.080	395.080	0.7647	0.2846
3139	6424.4000	3.0000	1.62104	0.52898	772.580	252.107	0.4615	0.2313
3138	6401.3747	4.0139	2.97069	0.74990	1415.817	357.398	0.8261	0.2592
3165	6516.0204	0.4335	2.98381	2.08461	1422.066	993.516	0.6667	0.6099
3179	6610.5689	0.6839	0.35932	0.35969	171.249	171.425	0.0000	0.0400
3149	6473.8814	2.6986	1.55289	0.70478	740.100	335.893	1.0000	0.5360
3211	6711.1914	3.2861	0.86197	0.38951	410.810	185.640	0.5714	0.3604
3196	6661.2103	3.7500	0.41043	0.24239	195.611	115.523	0.5000	0.4349
3228	6806.2889	3.4167	0.45995	0.36089	219.210	171.996	1.0000	1.0008
3219	6756.9762	3.8418	0.47301	0.28910	225.436	137.784	0.7500	0.5742
3174	6565.7290	4.1182	0.69567	0.35032	331.551	166.960	0.8333	0.5062
3243	6862.0638	9.1874	1.05071	0.27492	500.763	131.025	0.6500	0.2350
3247	6885.3867	10.4539	0.92455	0.21814	440.637	103.962	0.3913	0.1590
3299	7120.7229	6.1107	0.55456	0.25918	264.299	123.524	0.8571	0.4785
3251	6908.5242	10.0944	0.75905	0.21867	361.761	104.219	0.6471	0.2536
3255	6932.3588	10.3737	0.46879	0.15986	223.424	76.188	0.5000	0.2532
3278	7029.6861	9.8972	0.88668	0.23958	422.588	114.182	0.6500	0.2350
3259	6956.6986	11.4447	0.76679	0.20718	365.447	98.743	0.6500	0.2350
3267	7004.4347	10.9417	0.54068	0.15128	257.686	72.100	0.3125	0.1650
3263	6981.0053	10.2442	1.06338	0.24182	506.800	115.251	0.4800	0.1733
3293	7078.4111	9.6167	0.55680	0.17400	265.370	82.926	0.4286	0.2129
3282	7053.1340	11.0201	0.95614	0.22487	455.690	107.173	0.5000	0.1812
3296	7101.3543	11.1562	0.64335	0.19214	306.618	91.575	0.5714	0.2564
3321	7173.2558	6.2067	0.41156	0.19801	196.148	94.372	0.5000	0.3558
3333	7199.8206	7.5658	0.46754	0.18013	222.829	85.849	0.3333	0.2258
3353	7294.0114	9.3597	0.83057	0.21878	395.845	104.271	0.4211	0.1819
3346	7244.5206	10.0444	0.65541	0.17811	312.367	84.888	0.3333	0.1621
3374	7413.4436	10.2250	0.55404	0.18437	264.052	87.872	0.6154	0.2794
3387	7509.1678	10.7967	0.19107	0.10253	91.065	48.867	0.6000	0.4400
3365	7388.3656	11.0694	0.69220	0.19941	329.897	95.040	0.6471	0.2536
3362	7364.4267	10.7736	0.85717	0.22317	408.521	106.363	0.5714	0.2106
3380	7460.5256	10.6264	0.44584	0.15927	212.483	75.907	0.4000	0.2400
3343	7221.8851	10.4621	0.35302	0.13272	168.248	63.255	0.4444	0.2701
3359	7340.8986	10.6667	0.69236	0.19782	329.976	94.278	0.4706	0.2057
3377	7436.6233	10.8694	0.72168	0.17702	343.951	84.367	0.3182	0.1438
3356	7316.7844	11.3431	0.74629	0.20428	355.678	97.359	0.5789	0.2230
3384	7484.5611	11.0183	0.53939	0.17436	257.069	83.097	0.6429	0.2776
3349	7269.3649	12.7251	1.19210	0.22865	568.147	108.971	0.4324	0.1354
3457	7846.4485	8.6157	0.57572	0.22611	274.385	107.765	0.9000	0.4155
3402	7580.7464	9.0819	0.55463	0.19274	264.336	91.859	0.5455	0.2797
3449	7797.7144	8.3978	0.49131	0.19718	234.156	93.976	0.6667	0.3536
3414	7676.9871	9.4840	0.57155	0.21387	272.400	101.928	0.8000	0.3816
3466	7894.8397	9.1692	0.69803	0.22855	332.676	108.928	0.6923	0.3029
3461	7870.1867	9.0653	0.65995	0.24061	314.527	114.673	0.9091	0.3992
3454	7823.3524	11.7082	0.65729	0.19024	313.260	90.665	0.5882	0.2378
3390	7533.5925	11.0181	0.63449	0.19936	302.393	95.015	0.7333	0.2938
3393	7557.1758	10.4203	0.42264	0.16264	201.428	77.514	0.7000	0.3473
3405	7603.2811	11.3781	0.51949	0.16575	247.586	78.996	0.5714	0.2564
3469	7916.0694	9.7467	0.12938	0.07227	61.662	34.445	0.2500	0.2824
3408	7627.5417	10.7764	0.30040	0.12967	143.167	61.802	0.5714	0.3604
3411	7652.6149	12.1929	0.38135	0.14582	181.749	69.497	0.7000	0.3473
3432	7750.0833	7.8156	0.49553	0.22192	236.166	105.768	0.8571	0.4785
3472	7944.3218	16.2004	0.60273	0.16062	287.258	76.548	0.7000	0.2472
3545	8328.5599	6.6087	0.35424	0.19472	168.827	92.804	0.8000	0.5381
3528	8206.0439	8.7056	0.25776	0.10793	122.849	51.438	0.1429	0.1579
3514	8159.6078	8.4806	0.70129	0.25152	334.229	119.873	0.8182	0.3699
3563	8439.6685	6.4879	0.56518	0.26739	269.360	127.438	1.0000	0.5360
3544	8303.7518	7.4504	0.46481	0.18646	221.527	88.864	0.5000	0.3088
3490	8013.8750	8.2625	0.65981	0.24351	314.462	116.057	0.8182	0.3699
3548	8349.7581	9.6431	0.42786	0.17172	203.918	81.840	0.6667	0.3536
3505	8109.6840	10.3754	0.48212	0.16020	229.775	76.348	0.5000	0.2532
3518	8182.5578	8.8478	0.49410	0.17761	235.484	84.649	0.5455	0.2797
3498	8060.3368	9.5249	0.46237	0.18765	220.364	89.433	0.7778	0.3940
3473	7968.1900	7.6625	0.47009	0.19904	224.044	94.862	0.6250	0.3585
3509	8134.8306	9.2500	0.58587	0.20403	279.224	97.240	0.6667	0.3069
3501	8083.7917	11.7825	0.45720	0.15066	217.899	71.803	0.5385	0.2556
3495	8037.4738	10.9663	0.56436	0.18165	268.970	86.576	0.6429	0.2776
3532	8252.6806	10.9019	0.70843	0.21272	337.632	101.380	0.7500	0.2892
3486	7990.4331	9.9208	0.34158	0.15964	162.794	76.084	0.8571	0.4785
3535	8276.7139	10.7425	0.47219	0.16694	225.042	79.564	0.6364	0.3103
3529	8226.9368	12.1813	0.36154	0.13913	172.309	66.308	0.7000	0.3473
